7,4,-9,-8,6,10,7,6,11,-12,9,-13,5,0,0,0,0,0,0,0,0,0,0,0,0,10,-21,18,13,-24,16,56,-12,94,55,-9,-5,96,85,32,16,-3,-67,0,0,0,0,0,0,0,0,0,0,0,0,56,-83,-38,-13,17,8,23,47,31,9,39,35,0,0,0,0,0,0,0,0,0,0,0,0,37,-6,57,23,-8,-57,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-4,-3,2,5,4,98,-9,-80,-52,-19,18,22,48,-26,0,-34,40,0,0,0,0,0,0,0,0,0,0,0,0,93,-78,-13,-9,-55,-44,9,20,15,9,21,18,0,0,0,0,0,0,0,0,0,0,0,0,132,55,-9,-55,65,-2,74,2,-56,-62,-19,3,19,37,-7,-25,-8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,-2,-1,1,2,1,25,48,-30,-1,-37,26,0,0,0,0,0,0,0,0,0,0,0,0,45,-89,-24,-4,25,58,16,36,19,1,26,33,0,0,0,0,0,0,0,0,0,0,0,0,68,-56,-1,-8,-24,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,58,-80,-78,18,62,8,9,19,-14,7,-18,14,0,0,0,0,0,0,4,-10,-6,2,8,9,137,68,73,-8,-76,-12,108,35,-2,1,72,-102,0,0,0,0,0,0,16,-35,15,-3,-21,33,154,20,-62,-59,58,28,93,102,69,-22,17,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,16,12,-26,11,-12,-27,11,-1,-19,9,1,-24,0,0,0,0,0,0,15,-34,-17,-1,24,31,45,84,19,-3,11,44,69,43,-11,-4,-37,-91,0,0,0,0,0,0,3,-7,6,4,-8,7,52,5,84,40,5,-1,84,144,11,3,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,6,9,7,0,0,0,0,0,0
1,0,0,0,0,0,0,2,-3,-3,2,4,3,29,52,-45,19,-51,21,0,0,0,0,0,0,0,0,0,0,0,0,62,-120,-30,-1,28,72,35,72,34,1,42,55,0,0,0,0,0,0,0,0,0,0,0,0,85,-75,8,-1,-34,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-3,8,7,-3,-7,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-1,-1,0,1,1,26,36,-40,17,-36,-5,17,-24,-28,15,25,-5,0,0,0,0,0,0,28,-59,8,-23,-11,48,86,54,-40,-22,32,33,79,83,-6,-12,-58,-25,0,0,0,0,0,0,0,0,0,0,0,0,61,-117,-27,-5,25,66,28,55,-5,22,-2,38,0,0,0,0,0,0,0,0,0,0,0,0,6,-11,11,9,-13,6,0,1,1,1,1,1,0,0,0,0,0,0
9,0,0,0,0,0,0,19,-9,-33,23,9,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,-33,11,19,-20,6,45,90,-30,-7,-35,63,0,0,0,0,0,0,0,0,0,0,0,0,21,5,37,26,5,-32,70,19,7,-1,60,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-22,21,14,-24,8,0,0,0,0,0,0
5,0,0,0,0,0,0,25,-43,-41,25,45,17,94,-2,-132,33,-5,-4,11,25,-16,3,-22,24,50,-95,-47,-5,52,49,54,43,17,44,-14,44,8,15,8,12,8,8,0,0,0,0,0,0,14,-28,25,18,-31,18,141,-101,89,14,31,-6,82,137,35,-29,32,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,4,-7,-7,5,8,5,8,15,-15,12,-17,7,0,0,0,0,0,0,15,-32,-11,-12,14,28,151,10,-28,25,-17,-3,156,70,11,-3,-32,-72,0,0,0,0,0,0,0,0,0,0,0,0,104,-94,-23,-17,-51,-47,19,39,30,14,37,29,0,0,0,0,0,0,0,0,0,0,0,0,32,34,51,22,33,-28,0,0,0,0,0,0,0,0,0,0,0,0
